#shell-id	x	y	z
0	-0.807291	-0.430872	-0.403274
0	0.165684	-0.263934	-0.950204
0	-0.116824	-0.543107	-0.831497
0	-0.548503	-0.758289	-0.352337
0	-0.632029	-0.356807	0.687915
0	-0.244548	0.674928	0.696182
0	-0.536019	-0.842544	0.052946
0	-0.768972	0.023290	0.638858
0	-0.517685	0.345564	0.782680
0	0.046185	-0.806226	0.589802
0	0.540616	-0.724021	-0.428401
0	0.782875	-0.404340	-0.472881
0	0.412284	0.104224	-0.905074
0	-0.500501	0.865232	0.029537
0	-0.279445	-0.180031	-0.943133
0	-0.051349	0.491456	-0.869387
0	0.890568	0.293377	-0.347590
0	0.899550	0.031362	0.435690
0	0.503517	0.513653	0.694716
0	-0.431396	0.587486	-0.684658
0	-0.827965	-0.560765	0.004112
0	-0.735486	0.304296	-0.605362
0	0.084497	-0.987032	0.136484
0	-0.408316	0.217710	-0.886499
0	-0.634763	-0.654623	0.410542
0	0.165813	0.825312	0.539783
0	0.205551	0.968357	0.141537
0	-0.963816	0.125430	0.235215
0	0.947061	-0.275102	0.165513
0	0.273215	0.889271	-0.366813
0	-0.315341	-0.593916	0.740152
0	-0.184409	0.931447	0.313687
0	0.982849	0.175323	0.057179
0	-0.650966	-0.122615	-0.749139
0	-0.812458	0.574948	0.096676
0	-0.020381	-0.129083	0.991424
0	0.391660	-0.845042	0.364014
0	0.726107	-0.610625	0.316078
