#shell-id	x	y	z
0	-0.760746	0.623391	-0.180691
0	-0.508463	-0.546844	0.665152
0	0.955486	0.276603	0.102652
0	-0.085789	-0.941082	0.327116
0	-0.613119	0.164998	0.772568
0	0.255138	-0.950407	0.177851
0	0.230151	-0.588724	-0.774877
0	-0.571668	0.820431	0.009443
0	0.599544	-0.715719	-0.358180
0	0.948480	-0.007893	0.316738
0	-0.186208	-0.738313	0.648245
0	-0.788269	0.005177	-0.615310
0	-0.316896	0.929503	0.188683
0	0.033722	0.256860	-0.965860
0	-0.361163	-0.554980	-0.749372
0	-0.842053	-0.310930	-0.440759
0	-0.030839	0.919457	0.391979
0	-0.533530	0.516881	0.669462
0	-0.475142	0.806055	-0.352866
0	0.827856	-0.032182	-0.560017
0	0.341413	0.065812	-0.937606
0	0.043106	0.441693	0.896130
0	-0.814970	0.555043	0.166586
0	-0.331307	0.289905	0.897881
0	-0.537665	0.019714	-0.842928
0	0.325546	0.258485	0.909508
0	0.050458	-0.123248	-0.991092
0	-0.320769	0.363628	-0.874575
0	0.946258	0.151912	-0.285516
0	-0.254626	-0.941696	-0.219940
0	-0.147527	0.832621	-0.533833
0	0.002777	-0.999790	-0.020280
0	-0.318912	0.792678	0.519574
0	0.649574	0.754498	-0.093741
0	0.230025	-0.057112	0.971507
0	0.596803	0.199789	-0.777117
0	0.934123	-0.229029	-0.273787
0	0.409195	0.813618	-0.413020
0	0.682789	0.614986	-0.394451
0	-0.338680	-0.791886	-0.508146
0	0.048413	-0.577082	0.815250
0	0.933989	-0.346004	0.089142
0	-0.050385	-0.737253	-0.673736
0	-0.802372	-0.567671	-0.184251
0	-0.632094	-0.586299	-0.506667
0	-0.352628	-0.930490	0.099202
0	-0.784039	-0.321984	0.530669
0	0.289019	0.425583	-0.857524
0	-0.770742	0.395112	0.499843
0	-0.653607	0.570354	-0.497487
0	-0.557806	-0.798186	-0.227490
0	0.850782	-0.312501	0.422508
0	0.869935	0.465484	-0.162908
0	0.625156	0.304688	0.718572
0	0.999292	-0.035002	-0.013792
0	-0.373542	0.634515	-0.676651
0	0.623148	-0.319048	0.714070
