#shell-id	x	y	z
0	-0.255588	0.108705	-0.960655
0	0.182509	0.943206	-0.277583
0	-0.967497	-0.231646	-0.101439
0	-0.762717	0.457797	-0.456820
0	0.312510	-0.903485	-0.293346
0	0.868737	-0.491033	0.064676
0	0.115720	0.295794	-0.948217
0	0.435581	-0.680983	0.588670
0	0.922032	0.243587	-0.300869
0	0.843999	0.276432	0.459620
0	0.631633	-0.761801	-0.143871
0	-0.882954	0.091489	0.460459
0	-0.804731	0.085959	-0.587383
0	-0.671950	0.263657	0.692075
0	0.573209	0.799173	-0.180979
0	0.323806	-0.937189	0.129720
0	-0.546702	0.323100	-0.772479
0	-0.751953	-0.607803	-0.255230
0	-0.080130	0.101852	0.991567
0	0.208655	-0.494676	0.843658
0	0.435266	0.024762	-0.899961
0	-0.584523	-0.470448	-0.661068
0	-0.032369	0.479253	0.877080
0	0.235452	0.671699	0.702412
0	-0.193441	0.743759	0.639846
0	-0.391512	-0.752213	0.529994
0	0.581127	0.096225	0.808104
0	0.955537	-0.137239	0.260986
0	0.004009	-0.998840	-0.047975
0	0.823691	-0.461720	-0.329163
0	-0.086901	-0.906527	-0.413107
0	-0.614828	0.747946	-0.250127
0	0.380626	0.919258	0.100441
0	0.474557	0.771595	0.423600
0	-0.084019	-0.682893	0.725671
0	-0.427829	-0.441851	0.788498
0	0.137254	-0.873684	0.466731
0	-0.549327	0.638699	0.538799
0	-0.700966	-0.523630	0.484210
0	0.985193	-0.134733	-0.106029
0	-0.710155	-0.180327	0.680560
0	0.290474	0.298457	0.909147
0	0.829573	0.550227	-0.095176
0	0.376628	-0.390177	-0.840186
