#shell-id	x	y	z
0	-0.408141	-0.783302	-0.468891
0	-0.006007	-0.943757	-0.330585
0	-0.676685	-0.128205	-0.725025
0	0.776053	0.443581	0.448305
0	0.878461	-0.153716	0.452412
0	-0.885473	-0.440586	0.147723
0	-0.292839	-0.956157	-0.002918
0	-0.759217	0.593436	0.267250
0	-0.404118	0.877053	0.259743
0	-0.134578	0.980379	-0.144032
0	0.001114	-0.339760	-0.940511
0	0.152311	-0.479659	0.864135
0	0.281687	0.008921	0.959465
0	-0.683622	-0.718324	-0.129116
0	0.411234	-0.273069	-0.869666
0	-0.009955	0.710574	0.703552
0	-0.404473	-0.471779	-0.783470
0	0.568190	0.129310	-0.812674
0	0.881156	0.125160	-0.455959
0	-0.874204	0.464951	-0.139956
0	0.255224	-0.788679	0.559327
0	0.557034	-0.817931	0.143882
0	-0.147686	-0.132797	0.980078
0	-0.762886	0.281921	0.581829
0	0.651211	0.489683	-0.579772
0	-0.440026	0.640633	0.629259
0	0.976568	-0.158505	-0.145570
0	-0.168072	-0.857536	0.486194
0	-0.270988	-0.548518	0.791008
0	-0.555625	-0.776704	0.296667
0	-0.972988	-0.158251	-0.168081
0	0.638569	-0.582483	0.502935
0	-0.542984	0.295462	-0.786048
