#shell-id	x	y	z
0	-0.495236	0.379528	0.781473
0	-0.240516	-0.303550	-0.921959
0	0.030662	0.175526	-0.983997
0	-0.095017	0.897450	0.430761
0	0.163699	-0.948535	0.271078
0	0.286262	0.842827	0.455738
0	0.330437	-0.723885	0.605642
0	-0.709187	-0.330236	-0.622895
0	-0.970637	0.131226	0.201601
0	-0.237376	-0.128001	0.962948
0	0.133095	-0.785030	-0.604991
0	-0.005877	0.370453	-0.928833
0	0.257380	0.666982	-0.699207
0	-0.664576	0.568980	0.484357
0	-0.609067	-0.671072	-0.422728
0	0.870089	-0.480576	-0.109509
0	0.703561	0.337373	-0.625445
0	-0.456292	0.769861	-0.446219
0	0.785200	-0.542591	-0.298422
0	0.119218	0.929112	0.350055
0	-0.497906	0.714451	0.491578
0	-0.184523	0.248167	-0.950981
0	-0.469553	0.155375	0.869125
0	0.409037	0.586531	0.699049
0	-0.140493	0.041511	-0.989211
0	-0.513397	0.560483	0.649833
0	-0.581730	0.769052	-0.264857
0	-0.842717	-0.252248	-0.475604
0	-0.042418	-0.694069	0.718657
0	-0.160039	-0.526037	0.835268
0	0.800613	-0.596958	0.051573
0	-0.786235	0.236604	0.570835
0	0.120358	-0.243808	-0.962326
0	0.351078	-0.113171	0.929482
0	0.600724	0.758388	-0.252939
0	0.743582	0.473906	0.471697
0	-0.360602	-0.430516	-0.827419
0	0.622637	0.781887	-0.031232
0	-0.942106	-0.317171	-0.108808
0	-0.627854	0.644813	-0.435908
0	-0.131709	-0.988846	0.069546
0	-0.383060	0.321150	-0.866099
0	0.941555	0.184870	0.281597
0	-0.441357	-0.719406	-0.536339
0	0.845989	0.204507	-0.492423
0	0.629529	0.748833	0.207227
0	0.917829	0.255714	-0.303644
0	-0.950878	-0.292451	0.101502
0	-0.457726	-0.613253	0.643745
0	0.345201	0.772752	-0.532626
0	0.025418	-0.896236	0.442849
0	0.165961	-0.635757	-0.753837
0	-0.539227	-0.423155	0.728131
0	0.638641	0.531823	-0.556150
0	-0.903864	0.339164	0.260763
0	-0.687560	0.252664	-0.680751
0	0.068436	-0.995171	0.070367
0	0.263533	-0.920642	-0.288043
0	0.749371	0.593083	0.294442
0	-0.627045	-0.178767	-0.758194
0	0.194014	-0.646112	0.738172
0	0.996602	-0.082075	0.006987
0	0.463323	0.877804	-0.121621
0	0.426185	0.070983	-0.901847
0	-0.079978	0.030557	0.996328
0	-0.590309	-0.543884	-0.596427
0	0.985892	0.085932	-0.143639
0	0.854280	-0.008310	-0.519746
0	0.467226	0.818262	0.334883
0	-0.511396	0.605813	-0.609479
0	0.420400	0.840865	-0.340896
0	0.795038	0.408774	-0.448128
0	0.306387	-0.825032	-0.474816
0	-0.249483	-0.722324	-0.644986
0	0.910555	-0.164282	0.379342
0	-0.053715	-0.963333	0.262877
0	0.811526	-0.100144	0.575670
0	-0.324653	0.306607	0.894759
0	-0.483867	-0.867606	-0.114600
0	0.202813	0.334496	-0.920315
0	-0.043119	0.548352	-0.835135
0	0.767920	-0.493948	0.407817
0	0.538302	-0.184839	0.822232
0	0.188413	-0.978139	-0.087999
0	0.577507	0.219601	-0.786296
0	-0.955588	0.290755	0.048093
0	0.303076	0.922291	0.239840
0	0.990353	0.121588	0.066458
0	0.338897	-0.690012	-0.639556
0	0.854603	0.497894	0.147493
0	0.356106	0.484500	-0.799030
0	-0.008573	-0.551475	-0.834148
0	-0.398947	-0.284878	0.871600
0	-0.340862	0.517621	0.784782
0	-0.898050	-0.042960	-0.437791
0	-0.713373	-0.598883	0.363920
0	-0.659715	0.748254	-0.069941
0	-0.127920	-0.809696	0.572738
0	0.163923	-0.440889	-0.882466
0	-0.960609	0.224629	-0.163622
0	-0.973046	0.021079	-0.229644
0	0.384010	-0.880502	0.277942
0	-0.054282	-0.378010	-0.924209
0	-0.447468	-0.233789	-0.863201
0	-0.939480	-0.042129	0.340005
0	0.752957	0.639126	-0.156758
0	0.899344	-0.179534	-0.398683
0	0.279698	0.937421	-0.207391
0	-0.289783	0.952099	-0.097636
0	0.754029	0.654071	0.060259
0	-0.458084	0.833554	0.308782
0	0.594573	0.006289	-0.804017
0	0.248523	-0.858500	0.448569
0	0.487652	-0.868954	0.084349
0	-0.631789	0.706470	0.318972
0	-0.894855	0.431363	-0.114716
0	0.315556	0.948611	0.023707
0	-0.376914	0.536892	-0.754773
0	-0.674004	0.037886	-0.737755
0	-0.391278	0.914087	0.106523
0	0.865506	0.385305	0.320062
0	-0.503415	-0.026231	-0.863647
0	0.208137	0.892151	-0.400930
0	-0.734847	0.067827	0.674833
0	0.872172	0.486009	-0.055784
0	-0.627499	0.227683	0.744584
0	-0.573759	0.809785	0.122675
0	-0.805599	0.304224	-0.508388
0	0.750834	-0.613285	0.245214
0	-0.851936	-0.456632	0.256305
0	-0.219493	0.446293	-0.867552
0	-0.114590	-0.984879	-0.129930
0	-0.732406	0.667587	0.133829
0	0.734768	0.137612	-0.664213
0	-0.086366	-0.165785	-0.982373
0	0.542540	0.703180	-0.459553
0	-0.054784	0.970642	0.234205
0	-0.206536	-0.559462	-0.802711
0	0.803074	-0.396829	-0.444520
0	0.777931	0.110853	0.618494
0	0.663590	-0.407774	-0.627191
0	0.110281	-0.790420	0.602557
0	0.537765	-0.400332	0.741986
0	-0.547371	-0.391569	-0.739634
0	-0.302387	-0.096112	-0.948327
0	-0.083675	-0.836840	-0.541015
0	0.047449	0.708504	0.704110
0	-0.282540	0.092548	0.954781
0	-0.879402	0.366482	-0.303881
0	-0.665525	0.459751	-0.587968
