#shell-id	x	y	z
0	0.911995	0.009558	-0.410091
0	0.918730	0.387269	-0.077189
0	0.205515	0.977048	-0.056040
0	-0.160457	0.905164	0.393613
0	-0.263476	-0.135725	-0.955070
0	-0.926173	0.375166	-0.038142
0	0.588599	-0.333394	0.736478
0	0.535468	0.171675	0.826923
0	-0.159675	0.145836	-0.976338
0	0.424718	-0.109883	0.898632
0	-0.433856	0.825511	0.360973
0	0.855834	0.309434	0.414485
0	0.770355	0.180545	-0.611520
0	-0.610376	-0.761708	0.217351
0	-0.695607	-0.566641	-0.441644
0	-0.120357	0.573416	0.810375
0	-0.216316	0.912931	-0.346069
0	-0.796576	0.548379	-0.254454
0	0.537987	0.696379	-0.475001
0	-0.849000	-0.489000	-0.200195
0	0.027760	-0.821033	0.570206
0	0.782508	0.545874	-0.299505
0	-0.968737	0.173587	0.177245
0	-0.330655	0.080194	0.940338
0	-0.325222	-0.921185	-0.213654
0	0.860827	-0.449043	-0.239452
0	-0.709598	0.486004	-0.510167
0	-0.685069	0.414603	0.598986
0	0.769908	0.637666	-0.024981
0	-0.412453	-0.586543	0.697029
0	0.488210	0.872726	0.001234
0	-0.407654	0.498416	0.765114
0	-0.991499	0.084037	-0.099335
0	-0.283788	0.736494	0.614036
0	-0.224548	0.330582	0.916675
0	-0.794387	-0.108329	-0.597674
0	0.013299	0.986494	0.163255
0	0.547821	-0.726171	0.415413
0	0.906528	-0.287585	0.309033
0	-0.695595	-0.463243	0.549139
0	-0.313022	0.772763	-0.552137
0	0.755086	-0.119467	-0.644649
0	0.038094	-0.415850	0.908635
0	-0.073334	-0.360873	-0.929727
0	-0.371196	-0.393240	-0.841176
0	-0.886610	-0.288808	0.361265
0	-0.263688	-0.797835	0.542151
0	0.173308	0.588074	0.790021
0	-0.478460	-0.776912	-0.409246
0	-0.538458	0.635793	0.553020
0	0.363024	0.886908	-0.285671
0	-0.690954	0.643982	0.328435
0	-0.008637	0.776428	0.630146
0	0.592694	0.037121	-0.804572
0	-0.248387	-0.430041	0.867968
0	-0.082378	-0.940790	0.328827
0	-0.965578	-0.209373	-0.154344
0	-0.032428	0.101779	0.994278
0	0.665130	0.358875	0.654836
0	-0.857098	0.273670	0.436449
0	-0.558360	-0.344146	0.754849
0	-0.132479	-0.903293	-0.408058
0	-0.398300	0.905663	-0.145369
0	0.929789	0.006663	0.368032
0	-0.383445	-0.190474	0.903709
0	0.645816	0.737114	0.198959
0	0.098540	-0.990336	0.097588
0	-0.325348	0.384668	-0.863817
0	-0.629019	0.760030	-0.163368
0	0.118272	0.169166	-0.978465
0	0.279259	0.754446	0.593992
0	0.657710	-0.066176	0.750359
0	0.487913	0.577163	0.654846
0	0.984875	0.112155	-0.132072
0	-0.560335	0.820773	0.111162
0	-0.533602	0.252470	0.807173
0	0.469238	-0.574054	0.671028
0	-0.806904	0.208730	-0.552573
0	0.179422	-0.623068	0.761310
0	-0.288406	0.949248	0.125496
0	0.112627	0.648795	-0.752582
0	-0.778116	0.627035	0.036912
