#shell-id	x	y	z
0	-0.531702	-0.762891	-0.367817
0	0.775443	-0.517611	0.361619
0	0.886482	-0.011001	0.462632
0	-0.160929	0.928347	0.335073
0	0.226743	0.084245	-0.970304
0	-0.708443	-0.698095	0.103785
0	0.617667	0.386546	0.684887
0	0.608659	0.362570	-0.705746
0	-0.228764	-0.972664	-0.039899
0	-0.514565	0.661141	0.545999
0	0.432621	0.780305	-0.451622
0	0.044045	-0.927831	0.370392
0	0.154583	0.724086	0.672163
0	0.435853	-0.895687	0.088191
0	-0.134896	-0.608183	0.782251
0	-0.201125	0.456007	0.866953
0	0.899140	0.387756	0.202958
0	0.598443	-0.150152	-0.786969
0	0.603036	-0.172556	0.778827
0	0.869117	-0.234326	-0.435576
0	0.772815	-0.622044	-0.125771
0	0.195563	-0.300730	0.933443
0	0.394882	-0.677288	0.620765
0	-0.235784	-0.226577	-0.945023
0	-0.905198	-0.272343	0.326260
0	-0.990585	0.136046	-0.015247
