#shell-id	x	y	z
0	0.520819	0.679132	0.517230
0	0.973426	0.089790	0.210663
0	0.653411	0.377301	0.656276
0	-0.662802	-0.216604	0.716782
0	0.823914	0.066471	0.562803
0	-0.338688	-0.390303	0.856127
0	-0.486645	0.765312	-0.421276
0	0.305996	-0.219457	0.926393
0	0.836240	0.420639	0.351802
0	-0.678504	0.196817	0.707739
0	-0.960770	0.277327	0.003236
0	-0.064184	-0.162737	0.984580
0	-0.395328	0.539220	-0.743611
0	0.039533	-0.503957	0.862824
0	0.844846	0.375642	-0.380958
0	0.986235	0.062186	-0.153211
0	-0.878532	0.308393	0.364795
0	-0.317357	-0.897341	-0.306697
0	0.404883	-0.420761	-0.811807
0	-0.430783	-0.013596	0.902353
0	0.158789	-0.201698	-0.966490
0	0.912123	0.409883	-0.005256
0	0.871232	0.026641	-0.490148
0	0.026081	-0.521105	-0.853094
0	-0.190305	-0.151002	-0.970042
0	0.720680	0.666336	-0.191357
0	0.450113	0.801367	-0.393966
0	0.220968	0.702536	-0.676473
0	0.336665	0.465802	0.818343
0	0.222028	-0.941688	0.252837
0	0.523929	0.097875	0.846120
0	0.678607	0.711647	0.181799
0	-0.565585	0.822838	-0.055240
0	-0.644606	0.221263	-0.731796
0	-0.142001	0.784164	-0.604088
0	0.057080	-0.917363	-0.393937
0	0.585835	0.547332	-0.597683
0	0.635273	-0.543052	-0.549110
0	-0.087968	-0.995996	-0.015945
0	0.122727	0.926826	-0.354869
0	0.261415	-0.724437	-0.637851
0	0.802759	-0.568986	0.178415
0	0.770388	-0.609166	-0.188197
0	0.162419	0.754382	0.636025
0	0.438276	0.897802	-0.043204
0	-0.695046	0.497835	-0.518721
0	-0.480101	0.805296	0.347853
0	0.899208	-0.237059	0.367735
0	-0.265422	0.958294	0.105945
