#shell-id	x	y	z
0	-0.748907	0.190422	0.634726
0	0.270882	-0.398943	0.876052
0	-0.649290	-0.608926	0.455666
0	-0.311262	-0.775667	0.549052
0	-0.309574	0.738042	0.599548
0	0.114835	0.242757	-0.963266
0	0.604714	0.715279	0.350281
0	-0.258742	0.021321	-0.965711
0	0.596068	0.463718	0.655491
0	-0.616370	0.348621	-0.706081
0	0.650326	-0.595136	-0.472111
0	0.311591	0.929175	0.198859
0	-0.750043	-0.232321	0.619243
0	0.421697	-0.880857	-0.215088
0	0.438522	-0.391275	-0.809075
0	-0.732077	0.680003	0.040741
0	0.075487	-0.901840	0.425425
0	0.861990	0.479828	0.163517
0	0.937649	-0.329147	0.111701
0	0.385869	-0.700986	0.599770
0	-0.268597	-0.739560	-0.617176
0	0.618556	0.054074	0.783878
0	-0.992853	-0.076754	-0.091391
0	0.041644	-0.567056	-0.822626
0	-0.721985	0.583962	-0.371115
0	-0.444391	0.870463	-0.211685
0	-0.029629	0.916753	0.398355
0	-0.112836	0.180030	0.977168
0	-0.949669	-0.020555	0.312581
0	0.869965	-0.164557	0.464846
0	0.292176	0.364214	0.884297
0	-0.853344	-0.228267	-0.468720
0	0.084779	-0.996312	0.013190
0	0.021855	0.635876	-0.771481
0	-0.425214	-0.443620	0.788920
0	-0.891725	0.361316	0.272539
0	0.642897	0.762242	-0.075311
0	0.475304	0.028802	-0.879350
0	0.889387	0.400409	-0.220598
0	-0.291653	-0.936222	0.196030
