#shell-id	x	y	z
0	-0.790936	0.218986	-0.571371
0	0.229966	0.791320	-0.566505
0	0.593230	-0.575433	-0.562987
0	0.880107	0.191994	-0.434223
0	0.832776	-0.532964	0.149778
0	-0.386073	0.458729	0.800322
0	0.977691	-0.034307	-0.207226
0	0.604005	-0.758083	0.245943
0	0.233674	-0.923823	-0.303230
0	0.236341	0.664952	0.708507
0	-0.526557	0.782362	0.332639
0	-0.418424	-0.903465	-0.093120
0	-0.059696	-0.609959	0.790181
0	-0.069620	0.296798	-0.952399
0	-0.688391	-0.394579	0.608626
0	-0.079340	0.595417	0.799489
0	-0.939900	0.331559	0.081592
0	0.016310	0.935410	-0.353189
0	-0.264787	0.531075	-0.804890
0	0.993777	-0.015660	0.110283
0	0.452926	-0.692919	0.561000
0	0.952394	0.282109	-0.115584
0	0.208801	0.054181	-0.976456
0	-0.153942	-0.381401	-0.911502
0	-0.935851	-0.279684	-0.214383
0	-0.161540	0.986516	-0.026282
0	0.725457	-0.680761	-0.101371
0	-0.155169	-0.985530	0.068215
0	0.337475	0.842034	0.420821
0	-0.546177	-0.628744	-0.553508
0	-0.417879	-0.558673	0.716422
0	0.155697	-0.276278	-0.948382
0	0.708502	0.262950	0.654891
0	0.639786	0.759301	-0.118894
0	-0.668930	0.292421	0.683390
0	-0.237698	-0.366351	0.899604
0	0.870075	-0.183126	-0.457640
0	-0.923108	0.258845	-0.284380
0	0.303673	-0.742287	-0.597322
0	-0.807499	0.480060	0.342764
0	0.138473	-0.787655	0.600354
0	-0.510344	-0.213750	0.832983
0	0.403806	0.138799	0.904254
0	-0.462492	0.886393	0.020201
0	0.803387	0.513002	-0.302322
0	-0.566928	-0.686644	0.455096
0	0.639145	-0.033014	0.768377
0	-0.730915	-0.037268	0.681450
0	-0.466172	0.123758	0.875995
0	-0.638771	-0.728690	-0.246946
0	-0.007320	-0.837241	-0.546785
0	-0.832077	-0.552425	-0.049745
0	0.374500	0.884118	-0.279435
0	0.718868	-0.521453	0.459691
0	-0.104977	-0.041976	-0.993588
0	-0.555975	0.397656	-0.729905
0	0.370353	-0.194979	0.908197
0	-0.087414	-0.965136	-0.246722
0	-0.313395	0.895801	-0.315156
0	0.459979	0.424606	0.779827
0	-0.886392	-0.070007	-0.457611
0	0.783758	0.464635	0.412114
