#shell-id	x	y	z
0	0.525257	0.096368	0.845469
0	0.034363	0.188654	-0.981442
0	-0.030619	0.839909	-0.541863
0	-0.827539	-0.561284	0.011796
0	-0.105810	0.215292	0.970800
0	0.200968	0.678986	0.706109
0	-0.213804	-0.037375	-0.976161
0	0.319644	-0.896478	-0.306846
0	0.780034	0.221844	0.585092
0	-0.851055	0.460350	0.252552
0	-0.615251	-0.753306	0.232370
0	-0.627522	0.504398	0.593127
0	-0.634295	0.078070	0.769139
0	-0.488648	-0.700452	-0.520182
0	0.914569	-0.052201	0.401048
0	-0.848534	-0.136531	0.511223
0	0.218145	0.380248	0.898790
0	-0.712943	0.142647	-0.686560
0	-0.551030	0.833982	-0.028976
0	-0.244504	0.968940	-0.037051
0	-0.578021	0.461319	-0.673110
0	-0.814494	0.231407	0.532025
0	0.312564	0.381933	-0.869730
0	0.747901	0.537004	0.390219
0	0.604431	0.781448	0.154925
0	0.516118	0.606747	-0.604550
0	-0.094626	0.491263	-0.865856
0	0.948685	-0.305928	0.080033
0	0.614117	-0.687313	0.387894
0	0.377060	-0.268405	0.886445
0	-0.962922	0.103110	0.249300
0	-0.622888	0.720281	0.305297
0	0.528855	0.430426	0.731469
0	-0.313608	0.671291	-0.671579
0	-0.822864	0.396004	-0.407524
0	0.031753	-0.852536	-0.521703
0	0.352171	0.935074	-0.040153
0	0.997277	0.030001	0.067374
0	0.182623	0.662579	-0.726387
0	-0.619735	-0.284183	0.731552
0	-0.350350	0.706012	0.615469
0	0.415493	-0.357904	-0.836224
0	-0.774164	-0.483192	0.408895
0	-0.111021	0.557089	0.822998
0	0.357428	0.029539	-0.933474
0	0.944252	0.274886	-0.181176
0	0.922838	0.306005	0.233946
0	0.051645	0.973536	-0.222624
0	-0.293716	-0.894222	-0.337785
0	0.328474	-0.873301	0.359793
0	0.790855	-0.607469	0.074360
0	0.027087	0.985884	0.165223
0	-0.327800	-0.847294	0.417899
