#shell-id	x	y	z
0	-0.710064	-0.298112	-0.637917
0	-0.015990	0.139604	-0.990078
0	0.818908	-0.494003	0.292150
0	-0.279031	0.436211	-0.855489
0	0.983782	0.175438	0.037346
0	-0.111296	0.619670	0.776931
0	-0.689077	0.248764	-0.680654
0	0.154993	-0.852391	0.499406
0	0.490959	0.685517	-0.537611
0	-0.963681	0.265900	0.024831
0	0.115304	0.625714	-0.771483
0	0.364587	-0.861245	-0.354026
0	0.602839	0.794818	-0.069641
0	-0.059965	-0.870393	-0.488692
0	0.126102	0.287658	0.949395
0	0.520837	0.754684	0.398976
0	-0.659761	0.098555	0.744985
0	0.701749	0.330739	-0.630999
0	0.719395	-0.677070	-0.155070
0	0.367620	0.564528	0.739028
0	-0.514903	0.640731	-0.569508
0	-0.914265	0.023112	-0.404456
0	0.819959	-0.374360	-0.433038
0	-0.303375	0.210064	0.929428
0	0.924230	0.048623	-0.378727
0	-0.246241	-0.961796	-0.119643
0	0.369240	0.277075	-0.887069
0	0.826433	0.500750	0.257408
0	0.457109	0.030718	0.888880
0	0.836292	0.493868	-0.238138
0	0.217169	0.921949	-0.320698
0	0.512660	-0.840745	0.174148
0	0.153522	-0.987994	0.017269
0	0.509847	-0.561677	-0.651594
