#shell-id	x	y	z
0	-0.283354	-0.958726	-0.023548
0	-0.916835	-0.249088	0.312041
0	0.064000	0.981787	-0.178883
0	-0.118941	-0.681844	0.721763
0	0.956015	-0.273207	-0.106737
0	0.200118	-0.772163	-0.603090
0	0.525353	0.847865	-0.071621
0	0.619007	-0.632859	0.465103
0	-0.000388	-0.996069	-0.088585
0	0.121737	0.428705	-0.895205
0	-0.362398	-0.509308	0.780560
0	-0.136126	0.926108	-0.351843
0	0.143138	-0.786659	0.600565
0	0.374451	0.152794	0.914571
0	0.221919	-0.087686	-0.971114
0	0.719061	-0.217993	-0.659871
0	0.556527	0.740541	-0.376665
0	0.329007	0.900643	-0.283895
0	0.041207	0.128789	-0.990815
0	0.813188	-0.382337	0.438799
0	0.916799	-0.370952	0.147899
0	-0.943849	-0.166895	-0.285124
0	0.724675	0.679849	0.112477
0	0.806149	0.402147	0.434052
0	-0.880090	-0.441966	-0.173514
0	0.541331	0.579290	0.609413
0	0.487749	0.844524	0.221089
0	0.980249	0.197731	-0.003751
0	0.120758	0.869483	-0.478974
0	0.014834	-0.618717	-0.785474
0	-0.702328	-0.050054	0.710092
0	-0.731334	0.486614	0.477868
0	0.270786	0.632403	0.725769
0	0.390179	-0.406451	0.826170
0	0.623141	0.086731	0.777286
0	-0.745421	0.666306	0.019564
0	-0.662133	-0.648769	-0.375072
0	-0.383794	-0.785710	-0.485141
0	-0.723851	-0.670740	0.161702
0	0.564066	-0.802137	0.195973
0	0.315697	0.210817	-0.925144
0	-0.772316	-0.505052	0.385293
0	-0.296960	0.945740	-0.131872
0	0.528508	-0.164058	0.832925
0	-0.299017	0.553548	0.777286
0	0.162567	0.404250	0.900086
0	-0.640513	0.704381	0.305924
0	0.202844	0.929823	0.307056
0	-0.274442	0.096311	-0.956768
0	-0.079400	-0.140548	-0.986885
0	-0.562309	0.437529	0.701696
0	-0.773002	0.588661	-0.236530
0	-0.588231	-0.537307	0.604388
0	0.919154	-0.127845	0.372575
0	0.520751	-0.849680	-0.082842
0	-0.886911	-0.449749	0.105423
0	0.832220	0.108760	0.543673
0	0.991810	-0.074463	0.103770
0	-0.125616	0.363559	0.923063
0	-0.880844	0.256025	0.398202
0	-0.494655	0.018608	0.868890
0	-0.435331	-0.396390	-0.808308
0	-0.672834	-0.330088	-0.662070
0	0.382018	-0.846967	-0.369742
0	0.359808	0.735761	-0.573755
0	0.392390	-0.819154	0.418350
0	-0.757763	0.153838	-0.634137
0	-0.843273	0.497592	0.203207
0	-0.767852	-0.290343	0.571055
0	-0.140555	0.584039	-0.799464
0	0.625548	-0.413641	0.661506
0	-0.262139	0.955010	0.138705
0	0.551676	0.289811	-0.782089
0	0.140667	-0.334521	0.931831
0	-0.977984	0.014088	0.208204
0	0.084727	-0.922989	-0.375383
0	-0.484724	0.669903	0.562381
0	-0.874221	-0.011498	0.485393
0	-0.413946	0.281806	0.865583
0	-0.097658	-0.812657	-0.574501
0	0.401021	-0.640052	0.655374
