#shell-id	x	y	z
0	-0.720825	0.460544	-0.517988
0	0.734421	-0.200247	-0.648480
0	0.307127	0.091242	-0.947285
0	0.363351	0.672969	0.644274
0	-0.068935	-0.973502	-0.218041
0	0.016008	-0.896030	0.443704
0	-0.993307	-0.002978	-0.115467
0	0.273803	0.085848	0.957947
0	0.486490	-0.861944	0.142759
0	-0.217248	0.497028	-0.840099
0	-0.165714	0.492164	0.854584
0	-0.791143	-0.561490	-0.242532
0	-0.433884	-0.574028	0.694432
0	0.866550	-0.479809	-0.137384
0	-0.744286	-0.119934	-0.657003
0	-0.516075	-0.842274	0.155692
0	0.870095	0.316498	-0.377842
0	-0.440783	0.772946	0.456360
