#shell-id	x	y	z
0	0.386661	-0.110903	-0.915529
0	0.089005	-0.983562	0.157112
0	-0.972790	0.078561	-0.217963
0	0.641851	0.442353	-0.626379
0	0.726469	-0.685464	-0.048795
0	-0.434199	0.898345	-0.066680
0	-0.489886	0.818919	0.298969
0	0.625447	-0.304374	-0.718451
0	-0.257195	0.361416	-0.896231
0	-0.340009	-0.372629	-0.863447
0	-0.419576	-0.271509	0.866163
0	0.568337	0.820061	-0.067034
0	-0.253751	0.005181	-0.967256
0	-0.091145	-0.436832	0.894914
0	-0.878979	-0.216661	0.424799
0	-0.920960	0.361381	0.145724
0	0.482801	-0.626245	-0.612144
0	0.777504	-0.372052	0.507015
0	0.272257	-0.466428	-0.841618
0	0.905114	0.274092	0.325026
0	0.004155	-0.269655	-0.962948
0	0.095158	0.093100	-0.991099
0	-0.783230	-0.549628	0.290620
0	0.162618	-0.961356	-0.222149
0	-0.082698	-0.856971	0.508687
0	-0.700126	-0.588776	-0.403939
0	0.152769	0.865405	0.477217
0	-0.310202	-0.634833	0.707645
0	0.474619	0.833218	0.283698
0	-0.829913	0.011299	-0.557779
0	0.637613	-0.699692	0.322305
0	-0.270462	-0.936173	0.224566
0	0.688880	0.068552	-0.721627
0	0.565234	0.076920	0.821337
0	0.953879	0.297645	-0.039009
0	0.129568	-0.676043	0.725382
0	-0.062795	-0.620681	-0.781544
0	0.504199	0.746391	-0.434378
0	-0.300991	0.851799	-0.428770
0	0.864508	-0.161450	-0.475984
0	0.880984	-0.433525	0.189533
0	-0.186254	-0.975130	-0.120133
0	-0.680927	-0.346630	-0.645125
0	0.747846	-0.526588	-0.404267
0	-0.989142	0.022924	0.145167
0	-0.413496	-0.651502	-0.636055
0	-0.800662	-0.594296	-0.075849
0	0.183715	-0.802581	-0.567550
0	-0.481658	0.595453	-0.642994
0	0.574889	-0.262974	0.774821
