#shell-id	x	y	z
0	0.154850	0.820198	-0.550724
0	0.213594	-0.913584	0.346036
0	-0.934010	0.164739	0.316997
0	-0.004255	-0.541953	-0.840398
0	0.692496	-0.210933	-0.689896
0	0.738884	-0.578519	-0.345495
0	0.342849	0.922355	-0.178087
0	0.746513	0.576006	0.333071
0	0.420320	-0.561713	-0.712608
0	0.475570	-0.250428	0.843279
0	-0.726578	-0.677431	0.114770
0	0.253286	0.192627	0.948020
0	-0.829473	0.548159	-0.107227
0	0.030337	-0.189550	0.981402
0	0.804157	-0.263877	0.532636
0	0.577465	-0.653034	0.489981
0	-0.834984	-0.249116	0.490656
0	0.217020	-0.612254	0.760295
0	-0.646232	-0.175897	-0.742593
0	0.237018	0.495561	-0.835609
0	-0.418812	-0.870356	-0.258991
0	-0.530330	-0.181643	0.828104
0	0.901233	0.179825	0.394262
0	0.357084	-0.851997	-0.382873
0	-0.063331	-0.848689	-0.525087
0	-0.033914	0.996817	0.072145
0	-0.261050	0.168529	0.950500
0	-0.443906	-0.586841	-0.677174
0	-0.580430	-0.615152	0.533562
0	-0.518345	0.854681	-0.028962
0	0.953527	0.295032	-0.061177
0	-0.983392	0.144827	-0.109384
