#shell-id	x	y	z
0	0.798139	-0.185921	-0.573068
0	-0.963121	-0.022045	0.268164
0	0.208208	0.616137	-0.759621
0	-0.311495	0.900218	-0.304266
0	-0.730731	0.090893	-0.676587
0	-0.572814	-0.773637	-0.270869
0	0.711532	0.290197	0.639928
0	-0.228904	0.107518	0.967493
0	0.531923	0.433738	-0.727275
0	-0.572094	0.820172	-0.005192
0	-0.170198	-0.344075	-0.923388
0	0.483853	0.867889	-0.112491
0	0.236113	0.267808	-0.934093
0	0.866424	-0.341786	0.363995
0	-0.960509	-0.267524	-0.076510
0	0.653502	0.629352	-0.420537
0	-0.182639	0.981793	0.052210
0	0.775349	0.631273	-0.018130
0	0.793798	0.492509	0.356819
0	-0.685711	0.593061	0.421995
0	-0.305049	-0.814245	-0.493913
0	-0.626730	0.445537	-0.639302
0	-0.461815	-0.546418	-0.698680
0	-0.828816	0.558461	-0.034421
0	0.031708	-0.828164	0.559588
0	-0.544766	0.373136	0.750999
0	0.553208	0.024569	-0.832680
0	-0.092002	-0.971654	0.217772
0	-0.784484	-0.201842	0.586383
0	-0.900171	0.355709	0.251323
0	-0.066346	0.901736	0.427166
0	0.213583	0.965688	0.147745
0	-0.918772	-0.069843	-0.388561
0	-0.192882	0.444331	0.874852
0	0.413661	-0.250551	0.875276
0	0.986552	-0.147294	0.070844
0	0.341390	-0.691112	-0.637037
0	-0.107694	0.459739	-0.881500
0	-0.346281	-0.812803	0.468444
0	-0.631187	0.688446	-0.357273
0	-0.340134	0.669735	-0.660124
0	-0.432921	0.844240	0.315971
0	0.110017	-0.051528	0.992593
0	-0.881088	-0.384251	0.275744
0	-0.461584	-0.134716	-0.876808
0	-0.066013	-0.674550	-0.735272
